Registered Qualifying Data Centers										
Data Center	Effective Date	Owner Name	Owner Registration #	Occupant Name	Occupant Registration #	Operator Name	Operator Registration #	Exemption End Date	Location	Notes
Data Center	Effective Date	Owner Name	Owner Registration #	Occupant Name	Occupant Registration #	Operator Name	Operator Registration #	Exemption End Date	Location	Notes
Alamo Data Center	11/02/2022	Alamo Mission LLC	LD543087-OW1	Design LLC	LD543087-OC1	Google LLC	LD543087-OP1		3441 Railport Parkway Midlothian, Ellis County, TX 76065	
Bull Data Center	11/04/2024	IE US Development Holdings 5 Inc.	LD939441-OW1	IE US Hardware 1 Inc.	LD939441-OC1	IE US Development Holdings 5 Inc.	LD939441-OP1		620 FM 1033 Childress, Childress County, TX 79201	Foreign For-Profit Corporation
Childress Data Center	08/10/2022	IE US Development Holdings 3 Inc.	LD926028-OW1	IE US Hardware 1 Inc.	LD926028-OC1	IE US Development Holdings 3 Inc.	LD926028-OP1		620 FM 1033 Childress, Childress County, TX 79201	Foreign For-Profit Corporation
Cinco Data Center	09/11/2025	Rowan Cinco LLC	LD107783-OW1	Design LLC	LD107783-OC1	Google LLC	LD107783-OP1		TX-132 & Co Rd 683 Lytle/Medina County, TX 78052	
Cottonwood Data Center	09/12/2025	Core Scientific Inc.	LD291044-OW1	Core Scientific Inc.	LD291044-OC1	Core Scientific Inc.	LD291044-OP1		1851 FM Road 2119 Pecos, Reeves County, TX 79772	
Cipher Barber Lake LLC Data Center	01/20/2026	Cipher Barber Lake LLC	LD910271-OW1	Anthropic, PBC	LD910271-OC1	Fluidstack USA II INC.	LD910271-OP1		951 Co Rd 204 Colorado City, Mitchell County, TX 79512	• Cipher Barber Lake is a data center development by Cipher Mining Technologies Inc. Phase I of the facility is already energized, boasting a power capacity of 300 MW and occupying 587 acres. • 250 acres, 300 MW front-of-meter, ERCOT grid-connected. Acquired September 2024 for $67.5M. • The expansion plans for Phase II are substantial, with an expected energization in 2029 and an additional power capacity of 500 MW. • This expansion will utilize an additional 285 acres, bringing the total footprint to a considerable size. Its extensive acreage and phased power capacity growth indicate a commitment to large-scale operations and future scalability. • The Anthropic connection is indirect and murky. The tenant chain is: Cipher → Fluidstack → and Anthropic announced a $50 billion partnership with Fluidstack for data centers in Texas and New York. • DCD article explicitly notes it's unclear whether the Cipher/Barber Lake sites are the ones covered by the Anthropic-Fluidstack deal. • The Comptroller registration showing Anthropic as occupant may reflect that Anthropic is a sublessee or end-user under the Fluidstack agreement, but it’s not publicly confirmed. • The  confirmed tenant structure is: Cipher owns, Fluidstack leases the entire 300 MW, Google backstops Fluidstack's obligations, AWS also has a $5.5B 15-year lease for 300 MW. That's a lot of tenants for one 300 MW site—worth untangling further.
Cutten Data Center	10/10/2024	SF HOUC, LLC	LD357799-OW1	SF HOUC, LLC	LD357799-OC1	SF HOUC, LLC	LD357799-OP1		15555 Cutten Rd Houston, Harris County, TX 77070	
Cyrusone LLC - Houston West III Data Center	01/31/2022	Cyrusone LLC	LD797782-OW1	Paile LLC	LD797782-OC1	Cyrusone LLC	LD797782-OP1		11003 Corporate Centre Dr Houston, Harris County, TX 77041	
Denton Data Center	09/19/2024			Coreweave Compute Acquisition Co V LLC	LD394824-OC2	Core Scientific, Inc. Coreweave, Inc.	LD394824-OP1 LD394824-OP2		8171 Jim Christal Rd Denton, Denton County, TX 76207	
DFW02 LANCASTER (STACK)	10/31/2025	SI DFW02A, LLC	LD112589-OW1	SI DFW02A, LLC	LD112589-OC1	SI DFW02A, LLC Stack Infrastructure III TRC, LLC	LD112589-OP1 LD112589-OP2		E Belt Line Road Lancaster, Dallas County, TX 75146	
DFW-04 Data Center	01/27/2026	Aligned Data Centers (Plano) Propco, LLC	LD325476-OW1	Lambda Procurement, LLC.	LD325476-OC1	Lambda, Inc.	LD325476-OP1		401 North Star Road Plano, Collin County, TX 75074	44-acre campus, Designed to Tier III standards, Concrete slab-on-grade and structured steel, 24x7x365 accessibility  
EdgeConneX AU02	07/11/2025	DFW33220N, LLC	LD018726-OW1	Coreweave, Inc.	LD018726-OC1	DFW33220N Operations 1, LLC	LD018726-OP1		7401 East Ben White Blvd  Austin, Travis County, TX 78741	
